 Morbidade Hospitalar do SUS - por local de residência - Rio Grande do Sul;;;
InternaçõesDias permanênciaÓbitos por Ano atendimento;;;
Capítulo CID-10: X.   Doenças do aparelho respiratório;;;
Lista Morb  CID-10: Pneumonia;;;
Período:Jan/2008-Fev/2026;;;
Ano atendimento;Internações;Dias_permanência;Óbitos
2007;2247;18611;135
2008;45610;298601;2891
2009;54643;352568;3778
2010;54573;349266;3824
2011;52055;338870;4058
2012;49700;326536;4367
2013;52075;350172;4827
2014;48896;335505;4913
2015;48024;325545;4716
2016;50080;340075;5379
2017;46109;311835;5026
2018;45444;315944;5469
2019;44291;309087;5288
2020;22815;165779;4029
2021;24760;180673;4283
2022;44477;320443;6198
2023;41882;298893;5305
2024;47108;326955;6127
2025;44159;308075;5847
2026;2863;18029;456
Total;821811;5591462;86916
 Fonte: Ministério da Saúde - Sistema de Informações Hospitalares do SUS (SIH/SUS);;;
 Notas:;;;
 ;;;
 Dados referentes aos últimos seis meses, sujeitos a atualização.;;;
 ;;;
 Consulte o site da Secretaria Estadual de Saúde para mais informações.;;;
