student_id,grade,gender,sleep_hours,sleep_quality,homework_hours,tests_per_week,extracurricular_hours,num_activities,screen_time_hours,commute_minutes,family_support,friend_support,teacher_support,self_rated_stress,burnout_score,high_burnout
1,12,Male,6.3,4,2.1,1,2.4,2,4.8,26.0,2,3,3.0,3,4,1
2,10,Female,6.3,4,0.0,2,7.1,1,3.7,43.0,2,5,4.0,4,3,0
3,12,Male,8.9,5,3.8,0,1.4,1,6.6,29.0,3,4,3.0,3,3,0
4,11,Male,10.4,4,2.5,2,16.4,1,2.3,2.0,4,4,1.0,2,3,0
5,9,Female,7.7,4,1.8,1,8.0,1,2.0,13.0,4,5,4.0,1,2,0
6,12,Male,6.0,3,1.5,1,5.4,3,9.1,12.0,4,3,5.0,5,4,1
7,11,Female,5.2,3,1.7,2,4.8,0,6.3,11.0,5,4,3.0,2,5,1
8,12,Female,7.2,4,2.7,2,3.8,4,5.8,2.0,3,3,4.0,3,4,1
9,9,Female,7.9,4,1.3,1,3.0,2,6.8,50.0,3,5,3.0,2,2,0
10,10,Male,7.2,4,2.5,1,2.8,3,5.5,9.0,5,4,4.0,4,2,0
11,10,Female,8.2,4,3.0,4,12.7,4,5.4,10.0,1,5,2.0,3,4,1
12,12,Female,7.9,3,5.5,3,3.8,2,4.1,2.0,4,3,3.0,4,4,1
13,11,Female,8.1,3,2.8,2,0.0,2,5.1,35.0,4,5,3.0,2,3,0
14,12,Female,7.1,5,4.3,3,1.3,4,4.5,21.0,5,5,4.0,2,3,0
15,10,Female,6.7,5,1.6,1,9.7,2,,17.0,2,4,2.0,3,4,1
16,9,Male,8.9,3,0.3,0,5.0,1,3.7,18.0,3,5,2.0,1,3,0
17,11,Female,7.7,3,2.4,0,5.5,1,3.5,31.0,2,3,4.0,3,4,1
18,9,Female,9.2,3,0.4,0,10.7,2,4.1,15.0,2,3,4.0,2,3,0
19,12,Male,8.3,4,3.2,2,2.9,3,4.6,2.0,3,4,3.0,4,3,0
20,11,Female,6.1,4,2.0,2,8.5,4,6.5,3.0,4,3,4.0,2,4,1
21,11,Male,6.1,4,0.8,1,3.3,1,6.2,2.0,5,5,3.0,2,3,0
22,10,Female,7.1,4,4.1,0,8.3,0,7.7,26.0,3,5,3.0,3,3,0
23,12,Female,6.3,4,2.7,1,4.4,3,6.7,36.0,4,4,3.0,3,4,1
24,12,Female,8.3,3,1.6,5,5.0,2,3.5,44.0,3,4,3.0,5,4,1
25,12,Female,7.8,3,4.1,3,9.3,2,4.8,2.0,4,5,4.0,3,4,1
26,9,Female,9.4,4,1.3,0,9.0,3,5.4,31.0,5,4,5.0,1,2,0
27,10,Male,8.4,2,3.5,1,5.3,3,2.2,13.0,3,3,4.0,3,4,1
28,9,Female,8.4,3,1.3,0,4.1,2,7.0,66.0,5,2,4.0,1,2,0
29,9,Male,9.5,3,1.5,1,12.4,4,1.9,43.0,2,5,4.0,2,2,0
30,11,Male,8.2,4,3.1,4,8.4,0,5.3,48.0,4,4,1.0,2,3,0
31,11,Female,7.8,4,3.4,0,4.4,0,4.1,34.0,5,5,4.0,1,2,0
32,12,Male,9.1,4,4.0,6,3.4,2,3.3,28.0,5,4,4.0,4,3,0
33,10,Female,8.1,2,2.3,1,10.1,2,1.9,16.0,2,4,3.0,3,4,1
34,10,Female,7.6,2,2.9,0,6.5,0,,13.0,3,4,3.0,3,4,1
35,10,Female,7.0,4,3.1,2,5.3,3,2.5,10.0,4,4,2.0,4,4,1
36,9,Male,9.0,2,2.2,1,6.5,2,1.1,31.0,4,3,3.0,1,3,0
37,9,Male,9.6,5,1.9,1,7.4,2,4.9,45.0,4,4,2.0,2,2,0
38,10,Female,7.9,2,1.0,1,5.8,3,6.9,17.0,5,4,4.0,1,1,0
39,9,Male,9.6,5,2.6,1,10.8,3,2.0,11.0,2,3,5.0,3,3,0
40,11,Male,5.5,2,2.8,1,11.0,3,,2.0,3,4,5.0,3,4,1
41,10,Female,7.9,4,2.0,1,8.1,6,5.3,26.0,2,4,2.0,3,3,0
42,12,Male,7.4,5,4.5,2,11.5,3,4.2,40.0,4,4,3.0,5,4,1
43,11,Male,6.9,2,1.4,1,6.0,2,6.8,41.0,4,5,2.0,2,3,0
44,10,Male,10.6,5,4.0,5,8.8,3,2.2,43.0,5,3,2.0,1,2,0
45,12,Nonbinary,7.4,2,3.2,2,10.0,4,5.2,28.0,5,2,,3,4,1
46,12,Female,7.0,4,3.5,4,10.1,3,2.6,23.0,4,3,3.0,4,3,0
47,10,Female,8.0,3,2.0,1,9.7,2,2.1,41.0,4,3,4.0,3,2,0
48,10,Male,5.7,3,0.7,2,8.5,0,7.3,5.0,3,2,2.0,4,4,1
49,11,Female,6.9,3,2.7,2,13.8,3,5.5,15.0,4,4,4.0,4,3,0
50,9,Female,9.3,5,2.3,2,3.8,1,3.0,48.0,4,4,5.0,2,2,0
51,9,Nonbinary,7.5,2,2.7,0,5.4,3,7.4,6.0,2,5,3.0,2,3,0
52,9,Female,7.3,4,1.8,0,5.1,2,7.5,21.0,4,3,4.0,1,2,0
53,12,Female,8.9,4,1.0,2,4.5,2,4.2,31.0,4,4,2.0,1,2,0
54,11,Male,9.2,3,1.3,5,0.0,2,1.0,23.0,5,5,3.0,2,1,0
55,11,Female,8.3,5,4.9,2,11.5,6,3.6,39.0,3,3,3.0,2,5,1
56,12,Female,6.9,3,2.1,1,1.9,5,3.3,45.0,3,4,3.0,2,4,1
57,10,Male,7.7,5,3.8,3,6.7,0,4.3,29.0,4,5,5.0,3,2,0
58,11,Female,6.8,4,1.9,0,0.3,3,3.2,43.0,4,2,2.0,2,3,0
59,9,Female,7.1,3,1.8,2,8.5,5,2.6,8.0,3,4,3.0,3,3,0
60,9,Female,7.1,3,2.6,2,2.9,5,0.9,20.0,2,5,3.0,3,3,0
61,11,Male,7.0,3,2.0,4,1.5,0,4.9,58.0,3,3,,3,5,1
62,10,Female,6.8,5,4.0,1,6.8,3,1.0,51.0,3,5,2.0,3,3,0
63,11,Male,6.0,4,2.9,1,3.2,2,,3.0,3,4,3.0,2,4,1
64,11,Female,7.9,4,3.3,0,3.7,1,5.2,22.0,4,5,3.0,3,2,0
65,11,Female,8.0,3,2.5,5,6.7,3,2.8,24.0,3,4,5.0,3,3,0
66,11,Male,9.6,4,3.5,4,9.2,1,1.3,28.0,3,5,2.0,3,3,0
67,11,Male,7.0,4,4.4,1,2.7,5,4.5,41.0,4,4,4.0,3,3,0
68,10,Male,8.3,4,2.3,1,2.0,0,2.5,50.0,3,2,4.0,3,3,0
69,9,Female,8.5,3,3.7,1,6.1,0,4.0,23.0,5,3,3.0,3,2,0
70,10,Male,7.7,3,1.8,2,8.2,3,2.5,39.0,4,5,3.0,3,3,0
71,9,Male,9.0,3,2.8,2,11.9,0,3.2,32.0,2,5,4.0,2,3,0
72,10,Female,8.8,3,2.9,1,1.7,4,3.0,22.0,3,3,4.0,2,2,0
73,12,Female,7.8,3,2.1,4,4.7,3,4.1,2.0,3,5,3.0,3,4,1
74,9,Male,7.9,5,2.2,1,10.7,3,6.7,37.0,3,3,3.0,4,4,1
75,9,Female,7.8,3,2.0,3,13.9,2,4.4,31.0,4,4,4.0,3,3,0
76,10,Male,6.4,4,1.5,2,2.0,3,,28.0,2,4,3.0,2,3,0
77,10,Male,7.1,1,2.8,1,3.0,0,3.5,7.0,3,3,3.0,3,4,1
78,11,Female,7.0,4,2.9,3,7.5,4,5.0,51.0,5,4,3.0,3,3,0
79,11,Female,6.5,3,2.7,4,3.7,4,4.5,24.0,3,5,4.0,2,4,1
80,12,Female,7.9,3,3.1,1,3.0,0,4.1,5.0,4,3,5.0,1,3,0
81,11,Female,9.0,4,2.7,1,7.0,4,4.4,2.0,2,4,2.0,2,3,0
82,10,Female,7.0,3,2.0,1,12.2,1,3.8,32.0,3,3,3.0,3,4,1
